a5_score,frequency,pdf,cdf
0.0,33,0.4782608695652174,0.4782608695652174
0.20689655172413793,1,0.014492753623188406,0.4927536231884058
0.5,1,0.014492753623188406,0.5072463768115942
0.5333333333333333,1,0.014492753623188406,0.5217391304347826
0.5517241379310345,1,0.014492753623188406,0.536231884057971
0.5714285714285714,1,0.014492753623188406,0.5507246376811593
0.6206896551724138,2,0.028985507246376812,0.5797101449275361
0.6451612903225806,1,0.014492753623188406,0.5942028985507245
0.6896551724137931,1,0.014492753623188406,0.6086956521739129
0.8461538461538461,2,0.028985507246376812,0.6376811594202897
0.8823529411764706,2,0.028985507246376812,0.6666666666666665
0.8888888888888888,1,0.014492753623188406,0.6811594202898549
0.967741935483871,1,0.014492753623188406,0.6956521739130432
1.0,21,0.30434782608695654,0.9999999999999998
