a1_score,frequency,pdf,cdf
0.0,31,0.5,0.5
0.1111111111111111,1,0.016129032258064516,0.5161290322580645
0.5217391304347826,4,0.06451612903225806,0.5806451612903225
0.5333333333333333,1,0.016129032258064516,0.596774193548387
0.5454545454545454,1,0.016129032258064516,0.6129032258064515
0.5714285714285714,1,0.016129032258064516,0.629032258064516
0.5833333333333334,11,0.1774193548387097,0.8064516129032258
0.6086956521739131,1,0.016129032258064516,0.8225806451612903
0.6206896551724138,1,0.016129032258064516,0.8387096774193548
0.8695652173913043,1,0.016129032258064516,0.8548387096774193
0.96,3,0.04838709677419355,0.9032258064516128
1.0,6,0.0967741935483871,0.9999999999999999
