a1_score,frequency,pdf,cdf
0.0,16,0.2318840579710145,0.2318840579710145
0.35294117647058826,1,0.014492753623188406,0.2463768115942029
0.5,1,0.014492753623188406,0.2608695652173913
0.5333333333333333,1,0.014492753623188406,0.2753623188405797
0.6,1,0.014492753623188406,0.2898550724637681
0.6486486486486487,1,0.014492753623188406,0.30434782608695654
0.6666666666666666,1,0.014492753623188406,0.31884057971014496
0.7272727272727273,1,0.014492753623188406,0.33333333333333337
0.8695652173913043,10,0.14492753623188406,0.4782608695652174
0.88,1,0.014492753623188406,0.4927536231884058
0.9166666666666666,24,0.34782608695652173,0.8405797101449275
0.96,3,0.043478260869565216,0.8840579710144927
1.0,8,0.11594202898550725,0.9999999999999999
