a2_score,frequency,pdf,cdf
0.0,33,0.4782608695652174,0.4782608695652174
0.2692307692307692,1,0.014492753623188406,0.4927536231884058
0.29411764705882354,1,0.014492753623188406,0.5072463768115942
0.38461538461538464,1,0.014492753623188406,0.5217391304347826
0.3870967741935484,1,0.014492753623188406,0.536231884057971
0.3888888888888889,1,0.014492753623188406,0.5507246376811593
0.4,2,0.028985507246376812,0.5797101449275361
0.42424242424242425,1,0.014492753623188406,0.5942028985507245
0.42857142857142855,1,0.014492753623188406,0.6086956521739129
0.4375,1,0.014492753623188406,0.6231884057971012
0.48484848484848486,1,0.014492753623188406,0.6376811594202896
0.5128205128205128,1,0.014492753623188406,0.6521739130434779
0.5365853658536586,1,0.014492753623188406,0.6666666666666663
0.5945945945945946,1,0.014492753623188406,0.6811594202898547
0.625,1,0.014492753623188406,0.695652173913043
0.6829268292682927,1,0.014492753623188406,0.7101449275362314
0.6842105263157895,1,0.014492753623188406,0.7246376811594197
0.6857142857142857,2,0.028985507246376812,0.7536231884057966
0.7647058823529411,5,0.07246376811594203,0.8260869565217386
0.7906976744186046,1,0.014492753623188406,0.8405797101449269
0.8,1,0.014492753623188406,0.8550724637681153
0.8095238095238095,2,0.028985507246376812,0.8840579710144921
0.8181818181818182,1,0.014492753623188406,0.8985507246376805
0.8292682926829268,1,0.014492753623188406,0.9130434782608688
0.9230769230769231,1,0.014492753623188406,0.9275362318840572
1.0,5,0.07246376811594203,0.9999999999999992
