a5_score,frequency,pdf,cdf
0.0,37,0.5967741935483871,0.5967741935483871
0.46153846153846156,1,0.016129032258064516,0.6129032258064516
0.48,1,0.016129032258064516,0.6290322580645161
0.5,2,0.03225806451612903,0.6612903225806451
0.5217391304347826,2,0.03225806451612903,0.6935483870967741
0.5454545454545454,9,0.14516129032258066,0.8387096774193548
0.6086956521739131,1,0.016129032258064516,0.8548387096774193
0.9523809523809523,2,0.03225806451612903,0.8870967741935483
1.0,7,0.11290322580645161,0.9999999999999999
