a2_score,frequency,pdf,cdf
0.0,38,0.6129032258064516,0.6129032258064516
0.09523809523809523,1,0.016129032258064516,0.6290322580645161
0.20689655172413793,1,0.016129032258064516,0.6451612903225806
0.25,1,0.016129032258064516,0.6612903225806451
0.5128205128205128,1,0.016129032258064516,0.6774193548387096
0.6470588235294118,1,0.016129032258064516,0.6935483870967741
0.6666666666666666,1,0.016129032258064516,0.7096774193548386
0.7058823529411765,1,0.016129032258064516,0.7258064516129031
0.7777777777777778,1,0.016129032258064516,0.7419354838709676
0.7894736842105263,1,0.016129032258064516,0.7580645161290321
0.8,1,0.016129032258064516,0.7741935483870966
0.875,3,0.04838709677419355,0.8225806451612901
0.9090909090909091,1,0.016129032258064516,0.8387096774193546
1.0,10,0.16129032258064516,0.9999999999999998
