a4_score,frequency,pdf,cdf
0.0,34,0.4927536231884058,0.4927536231884058
0.10526315789473684,1,0.014492753623188406,0.5072463768115942
0.2,1,0.014492753623188406,0.5217391304347826
0.2608695652173913,1,0.014492753623188406,0.536231884057971
0.3225806451612903,1,0.014492753623188406,0.5507246376811593
0.38461538461538464,2,0.028985507246376812,0.5797101449275361
0.43478260869565216,1,0.014492753623188406,0.5942028985507245
0.4444444444444444,1,0.014492753623188406,0.6086956521739129
0.47368421052631576,1,0.014492753623188406,0.6231884057971012
0.5,1,0.014492753623188406,0.6376811594202896
0.5263157894736842,1,0.014492753623188406,0.6521739130434779
0.6153846153846154,1,0.014492753623188406,0.6666666666666663
0.64,1,0.014492753623188406,0.6811594202898547
0.6666666666666666,3,0.043478260869565216,0.7246376811594198
0.7096774193548387,1,0.014492753623188406,0.7391304347826082
0.7142857142857143,3,0.043478260869565216,0.7826086956521734
0.7741935483870968,1,0.014492753623188406,0.7971014492753618
0.7857142857142857,1,0.014492753623188406,0.8115942028985501
0.8148148148148148,2,0.028985507246376812,0.8405797101449269
0.8333333333333334,1,0.014492753623188406,0.8550724637681153
0.9629629629629629,1,0.014492753623188406,0.8695652173913037
1.0,9,0.13043478260869565,0.9999999999999993
