a1_score,frequency,pdf,cdf
0.0,16,0.2318840579710145,0.2318840579710145
0.35294117647058826,1,0.014492753623188406,0.2463768115942029
0.4666666666666667,1,0.014492753623188406,0.2608695652173913
0.48,1,0.014492753623188406,0.2753623188405797
0.4864864864864865,1,0.014492753623188406,0.2898550724637681
0.5,21,0.30434782608695654,0.5942028985507246
0.5454545454545454,1,0.014492753623188406,0.608695652173913
0.6,1,0.014492753623188406,0.6231884057971013
0.8695652173913043,10,0.14492753623188406,0.7681159420289854
0.9166666666666666,5,0.07246376811594203,0.8405797101449274
0.96,3,0.043478260869565216,0.8840579710144926
1.0,8,0.11594202898550725,0.9999999999999998
